epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.204,2.32755,4.55851,9.3775,2.0284,0.03854,0.01852,0.01789,0.01031,0.00699,0.02834,0.00339,0.00118,1.98263,3.65358,15.7091,1.91737,0.000273039,0.000273039,0.000273039
2,703.891,2.02389,3.53589,8.97024,1.73143,0.00218,0.21323,0.0018,0.00048,0.143,0.00265,5e-05,1e-05,2.13787,4.07809,20.8506,1.97025,0.000545254,0.000545254,0.000545254
3,1055.8,2.24273,3.29222,8.35069,1.84506,0.29962,0.02857,0.01513,0.00459,0,0,0,0,2.79825,5.80962,24.1869,2.58639,0.00081197,0.00081197,0.00081197
