epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.2,2.32755,4.55851,9.3775,2.0284,0.03854,0.01852,0.01789,0.01031,0.00699,0.02834,0.00339,0.00118,1.98263,3.65358,15.7091,1.91737,0.000273039,0.000273039,0.000273039
2,626.52,2.0233,3.53279,8.96116,1.72974,0.00217,0.21323,0.00183,0.00051,0.143,0.00265,5e-05,1e-05,2.12189,4.05698,20.0845,1.96885,0.000539802,0.000539802,0.000539802
3,933.227,2.24667,3.29087,8.34766,1.84085,0.2956,0.02857,0.01053,0.00357,0,0,0,0,2.77646,5.69546,20.1044,2.50234,0.000795569,0.000795569,0.000795569
4,1235.53,2.42405,3.34864,9.80065,2.05467,0.0236,0.03386,0.01907,0.00453,0,0,0,0,2.32121,6.05765,66.4281,2.1962,0.00078352,0.00078352,0.00078352
5,1539.83,2.25719,3.44046,16.3412,1.9945,0.48225,0.00265,0.00203,0.00056,0,0,0,0,2.34186,6.68413,51.5823,2.30032,0.000767026,0.000767026,0.000767026
6,1836.71,2.7935,3.96089,14.4412,2.29364,0.00054,0.00265,0.00028,0.00011,0,0,0,0,2.57635,4.94632,8.19635,2.48596,0.000750533,0.000750533,0.000750533
7,2135.27,2.53632,3.65108,7.31419,2.01708,0.20004,0.05979,0.04604,0.01426,0.19399,0.05714,0.0429,0.00493,2.64416,4.30751,57.4927,6.12917,0.00073404,0.00073404,0.00073404
8,2437.74,2.47296,3.56113,6.01686,2.28353,0.20004,0.05979,0.04604,0.01426,0.19399,0.05714,0.0429,0.00493,2.64416,4.30751,57.4927,6.12917,0.000717546,0.000717546,0.000717546
9,2744.26,2.42915,3.25566,5.44507,2.26148,0.00383,0.11799,0.03332,0.00481,0.00241,0.06243,0.00716,0.00085,2.68402,3.5819,5.38694,2.92256,0.000701053,0.000701053,0.000701053
10,3038.04,2.36026,3.20045,5.25045,2.12692,0.00878,0.2548,0.03603,0.00818,0.00398,0.1223,0.00315,0.00036,2.76486,3.44334,6.40153,3.47552,0.000684559,0.000684559,0.000684559
11,3340.56,2.2885,2.7328,5.45502,1.99012,0.48667,0.02857,0.04516,0.01408,0.28962,0.03386,0.00173,0.00065,2.52217,3.22571,5.36795,2.54569,0.000668066,0.000668066,0.000668066
12,3737.17,2.3948,3.22242,4.81152,2.08013,0.00359,0.26349,0.0325,0.01169,0.00103,0.0418,0.0028,0.00038,2.6233,3.19744,4.96184,2.2846,0.000651573,0.000651573,0.000651573
13,4126.51,2.28711,3.16917,4.62022,2.06824,0.03803,0.25344,0.04489,0.01008,0.001,0.11376,0.00109,0.00018,2.40735,3.41935,19.7561,2.33527,0.000635079,0.000635079,0.000635079
14,4557.75,2.26744,3.18318,4.50904,1.98637,0.0307,0.25608,0.0442,0.01367,0.43108,0.00265,0.00113,0.00024,2.48921,3.45795,5.07017,2.14644,0.000618586,0.000618586,0.000618586
15,4983.47,2.14694,3.07936,4.22687,1.85446,0.02209,0.19259,0.02635,0.01762,0.00075,0.10847,0.00198,0.00074,2.31099,3.27041,26.4083,2.22789,0.000602092,0.000602092,0.000602092
16,5398.01,2.1658,3.01171,4.2617,1.97037,0.43797,0.02116,0.04042,0.02543,0.45107,0.00529,0.03721,0.00623,2.25098,3.09943,4.32126,2.04905,0.000585599,0.000585599,0.000585599
17,5814.23,2.13805,2.91974,4.11252,1.8767,0.44104,0.01587,0.02993,0.0162,0.43458,0.00794,0.02062,0.00414,2.37063,3.1776,4.30056,2.4323,0.000569106,0.000569106,0.000569106
18,6186.2,2.13867,3.04757,3.79378,1.87825,0.49087,0.03386,0.02158,0.01131,0.451,0.02857,0.01467,0.00204,2.34903,3.43845,4.20532,2.32422,0.000552612,0.000552612,0.000552612
19,6542.66,2.30333,2.93736,3.89006,2.12431,0.44914,0.02116,0.01603,0.00707,0.00143,0.17354,0.00425,0.00075,2.09559,3.25692,4.18335,2.19861,0.000536119,0.000536119,0.000536119
20,6892.5,2.27203,2.69967,3.79413,2.1606,0.01699,0.37989,0.0558,0.01872,0.01574,0.32646,0.04561,0.01262,2.07671,3.00887,3.85852,2.1516,0.000519625,0.000519625,0.000519625
21,7241.16,2.03395,2.72769,3.56992,1.89808,0.02526,0.44157,0.08085,0.02668,0.02447,0.40401,0.07244,0.0195,2.19304,3.07221,3.64243,2.1999,0.000503132,0.000503132,0.000503132
22,7592.82,2.14475,2.94226,3.49426,1.90618,0.02834,0.47445,0.12269,0.04661,0.02683,0.41096,0.10655,0.03596,2.22075,3.21916,3.59486,2.0694,0.000486639,0.000486639,0.000486639
23,7945.92,2.00269,2.73129,3.56293,1.87805,0.05638,0.46122,0.12675,0.05591,0.04642,0.34218,0.10411,0.03951,2.31391,3.27362,3.67505,2.00748,0.000470145,0.000470145,0.000470145
24,8310.97,2.03244,2.9067,3.43164,1.74868,0.05638,0.46122,0.12675,0.05591,0.04642,0.34218,0.10411,0.03951,2.31391,3.27362,3.67505,2.00748,0.000453652,0.000453652,0.000453652
25,8739.24,2.04351,2.87332,3.28386,1.89682,0.06229,0.3514,0.09513,0.04483,0.06084,0.19796,0.07452,0.03659,2.01577,3.08206,3.68195,1.96299,0.000437158,0.000437158,0.000437158
