epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,9189.2,1.94261,2.81269,3.46917,1.78279,0.05436,0.42018,0.08656,0.02991,0.05269,0.33341,0.07617,0.03666,1.94448,2.89342,5.05201,1.96816,0.000420665,0.000420665,0.000420665
27,9601.15,2.0448,2.76719,3.03948,1.99435,0.02101,0.56364,0.07247,0.03096,0.01766,0.34565,0.05985,0.02416,1.98442,2.88785,7.29369,1.98843,0.000404172,0.000404172,0.000404172
28,10014.2,1.91319,2.92265,2.9918,1.79386,0.30641,0.25242,0.21694,0.14696,0.29077,0.15344,0.19896,0.07667,1.99941,2.99964,3.61412,2.02888,0.000387678,0.000387678,0.000387678
29,10414.6,1.9434,2.71064,3.15474,1.80394,0.31863,0.24233,0.1409,0.07146,0.02195,0.43666,0.12844,0.05318,2.1337,3.19537,3.88247,2.16176,0.000371185,0.000371185,0.000371185
30,10789.4,1.92035,2.79924,3.05857,1.72903,0.32606,0.23704,0.14582,0.08416,0.30613,0.18201,0.11383,0.05016,1.9429,3.38645,3.54046,2.06432,0.000354691,0.000354691,0.000354691
31,11142,1.72793,2.59941,3.18301,1.61353,0.33001,0.23968,0.16265,0.09906,0.30834,0.18201,0.13264,0.06272,1.96089,3.41632,3.46224,2.08725,0.000338198,0.000338198,0.000338198
32,11496.8,1.84333,2.65466,2.87675,1.80745,0.33482,0.26724,0.19754,0.12724,0.30975,0.20957,0.16538,0.07474,1.9217,3.23887,3.94993,2.00783,0.000321705,0.000321705,0.000321705
33,11842.3,1.96207,2.78505,2.94124,1.75467,0.3226,0.27914,0.20652,0.13916,0.32235,0.16943,0.18552,0.08461,1.88897,3.14906,6.3567,1.98085,0.000305211,0.000305211,0.000305211
34,12209.9,1.72906,2.43112,2.84028,1.63299,0.40394,0.28503,0.10146,0.05562,0.39954,0.22018,0.08933,0.03931,1.9142,3.11524,46.2862,2.05581,0.000288718,0.000288718,0.000288718
35,12632.5,1.92955,2.67265,2.67864,1.74823,0.43102,0.23797,0.15204,0.0948,0.4252,0.22907,0.14287,0.05735,1.91593,3.24889,5.22523,1.94269,0.000272224,0.000272224,0.000272224
36,13081.8,1.91209,2.55036,2.59414,1.68488,0.45679,0.26791,0.25267,0.1652,0.43544,0.2314,0.22645,0.11469,1.85921,3.28131,3.35126,1.87303,0.000255731,0.000255731,0.000255731
37,13496.9,1.75896,2.6863,2.65101,1.63437,0.52864,0.24323,0.24408,0.16712,0.49914,0.20408,0.22308,0.11103,1.89862,3.27269,3.12804,1.83092,0.000239238,0.000239238,0.000239238
38,13905.6,1.74564,2.59383,2.63644,1.65054,0.57518,0.20378,0.26033,0.17998,0.53733,0.16727,0.22371,0.10718,1.94946,3.23707,3.38557,1.85622,0.000222744,0.000222744,0.000222744
39,14352,1.79183,2.57958,2.60754,1.79547,0.65952,0.24811,0.27736,0.20683,0.63751,0.22299,0.24367,0.1063,1.90616,3.13974,3.73223,1.80701,0.000206251,0.000206251,0.000206251
40,14743.5,1.75825,2.59094,2.44829,1.61317,0.65952,0.24811,0.27736,0.20683,0.63751,0.22299,0.24367,0.1063,1.90616,3.13974,3.73223,1.80701,0.000189757,0.000189757,0.000189757
41,15100.4,1.86554,2.26611,2.81707,1.6955,0.72931,0.20406,0.29067,0.19729,0.71429,0.19612,0.25148,0.11046,1.93254,3.06137,4.12106,1.83551,0.000173264,0.000173264,0.000173264
42,15448.2,2.03093,2.41458,2.8688,1.70972,0.68407,0.21731,0.2737,0.15799,0.66331,0.20673,0.23547,0.0989,1.97269,3.02779,4.11716,1.87281,0.000156771,0.000156771,0.000156771
43,15792.8,1.7838,2.11899,2.63611,1.68622,0.54489,0.25911,0.27632,0.15547,0.51468,0.24059,0.24211,0.08877,1.96764,3.01298,3.61967,1.90802,0.000140277,0.000140277,0.000140277
44,16144.1,1.91051,2.18364,2.48344,1.75222,0.56882,0.23962,0.29435,0.15127,0.53956,0.18768,0.23054,0.08685,2.05708,3.05828,3.07715,1.977,0.000123784,0.000123784,0.000123784
45,16494.1,1.88938,2.01979,2.63773,1.69466,0.43419,0.24006,0.18736,0.09506,0.64301,0.0898,0.15652,0.05905,2.05313,3.03912,3.13213,1.93704,0.00010729,0.00010729,0.00010729
46,16841.5,1.73785,2.14496,2.4571,1.64052,0.41459,0.21572,0.14453,0.07816,0.47112,0.13741,0.16514,0.05099,2.05192,3.08287,3.27842,1.96018,9.0797e-05,9.0797e-05,9.0797e-05
47,17193.6,1.61831,2.29274,2.37024,1.56419,0.40107,0.23477,0.15199,0.08316,0.48617,0.13741,0.17223,0.0575,2.02293,3.0757,3.30585,1.95067,7.43036e-05,7.43036e-05,7.43036e-05
48,17540.8,1.66332,2.15129,2.3812,1.66743,0.4017,0.23741,0.16204,0.08572,0.49444,0.13741,0.18058,0.05747,1.99228,3.09103,3.42393,1.92592,5.78102e-05,5.78102e-05,5.78102e-05
49,17885.6,1.85856,2.43635,2.48289,1.64808,0.47684,0.15285,0.20039,0.09669,0.39709,0.26693,0.16075,0.05032,1.9793,3.09731,3.34487,1.92597,4.13168e-05,4.13168e-05,4.13168e-05
50,18232.8,1.74496,2.19684,2.41507,1.63768,0.4079,0.29223,0.16549,0.09048,0.41166,0.1861,0.14856,0.0541,2.01586,3.08923,3.25118,1.92238,2.48234e-05,2.48234e-05,2.48234e-05
